instrument,anomaly_type,count
X_25123_24400_CE,Spread widening,291
X_25123_24400_CE,IV spike,152
X_25123_24400_PE,Price jump,735
X_25123_24400_PE,Spread widening,389
X_25123_24400_PE,Mispricing,301
X_25123_24400_PE,Gamma spike,285
X_25123_24400_PE,IV spike,260
X_25123_24450_CE,Price jump,805
X_25123_24450_CE,Mispricing,429
X_25123_24450_CE,Spread widening,417
X_25123_24450_CE,Gamma spike,301
X_25123_24450_CE,IV spike,152
X_25123_24450_PE,Price jump,832
X_25123_24450_PE,Spread widening,423
X_25123_24450_PE,Gamma spike,326
X_25123_24450_PE,Mispricing,316
X_25123_24450_PE,IV spike,247
X_25123_24500_CE,Price jump,736
X_25123_24500_CE,Mispricing,410
X_25123_24500_CE,Spread widening,399
X_25123_24500_CE,Gamma spike,289
X_25123_24500_CE,IV spike,171
X_25123_24500_PE,Price jump,847
X_25123_24500_PE,Spread widening,422
X_25123_24500_PE,Gamma spike,287
X_25123_24500_PE,Mispricing,252
X_25123_24500_PE,IV spike,212
X_25123_24550_CE,Price jump,754
X_25123_24550_CE,Mispricing,445
X_25123_24550_CE,Spread widening,364
X_25123_24550_CE,Gamma spike,287
X_25123_24550_CE,IV spike,171
X_25123_24550_PE,Price jump,878
X_25123_24550_PE,Spread widening,433
X_25123_24550_PE,Gamma spike,332
X_25123_24550_PE,Mispricing,251
X_25123_24550_PE,IV spike,219
X_25123_24600_CE,Price jump,417
X_25123_24600_CE,Mispricing,357
X_25123_24600_CE,Gamma spike,295
X_25123_24600_CE,Spread widening,233
X_25123_24600_CE,IV spike,152
X_25123_24600_PE,Gamma spike,502
X_25123_24600_PE,IV spike,314
X_25123_24600_PE,Mispricing,284
X_25123_24600_PE,Price jump,281
X_25123_24600_PE,Spread widening,121
X_25123_24650_CE,Price jump,460
X_25123_24650_CE,Mispricing,406
X_25123_24650_CE,Gamma spike,287
X_25123_24650_CE,Spread widening,272
X_25123_24650_CE,IV spike,161
X_25123_24650_PE,Price jump,522
X_25123_24650_PE,Gamma spike,351
X_25123_24650_PE,Mispricing,304
X_25123_24650_PE,Spread widening,300
X_25123_24650_PE,IV spike,262
X_25123_24700_CE,Mispricing,376
X_25123_24700_CE,Price jump,354
X_25123_24700_CE,Gamma spike,285
X_25123_24700_CE,Spread widening,198
X_25123_24700_CE,IV spike,183
X_25123_24700_PE,Gamma spike,465
X_25123_24700_PE,IV spike,302
X_25123_24700_PE,Price jump,235
X_25123_24700_PE,Mispricing,217
X_25123_24700_PE,Spread widening,115
X_25123_24750_CE,Mispricing,345
X_25123_24750_CE,Price jump,330
X_25123_24750_CE,Gamma spike,296
X_25123_24750_CE,Spread widening,180
X_25123_24750_CE,IV spike,166
X_25123_24750_PE,Price jump,523
X_25123_24750_PE,Gamma spike,474
X_25123_24750_PE,Mispricing,414
X_25123_24750_PE,IV spike,292
X_25123_24750_PE,Spread widening,284
X_25123_24800_CE,Mispricing,356
X_25123_24800_CE,Price jump,345
X_25123_24800_CE,Gamma spike,285
X_25123_24800_CE,Spread widening,175
X_25123_24800_CE,IV spike,159
X_25123_24800_PE,Gamma spike,610
X_25123_24800_PE,IV spike,336
X_25123_24800_PE,Mispricing,290
X_25123_24800_PE,Price jump,261
X_25123_24800_PE,Spread widening,129
X_25123_24850_CE,Mispricing,353
X_25123_24850_CE,Gamma spike,289
X_25123_24850_CE,Price jump,179
X_25123_24850_CE,IV spike,163
X_25123_24850_CE,Spread widening,77
X_25123_24850_PE,Price jump,603
X_25123_24850_PE,Gamma spike,419
X_25123_24850_PE,Mispricing,367
X_25123_24850_PE,Spread widening,310
X_25123_24850_PE,IV spike,302
X_25123_24900_CE,Mispricing,364
X_25123_24900_CE,Gamma spike,287
X_25123_24900_CE,Price jump,241
X_25123_24900_CE,IV spike,167
X_25123_24900_CE,Spread widening,121
X_25123_24900_PE,Gamma spike,534
X_25123_24900_PE,Mispricing,325
X_25123_24900_PE,IV spike,295
X_25123_24900_PE,Price jump,180
X_25123_24900_PE,Spread widening,90
X_25123_24950_CE,Mispricing,345
X_25123_24950_CE,Gamma spike,275
X_25123_24950_CE,Price jump,187
X_25123_24950_CE,IV spike,168
X_25123_24950_CE,Spread widening,84
X_25123_24950_PE,Price jump,536
X_25123_24950_PE,Gamma spike,435
X_25123_24950_PE,Mispricing,346
X_25123_24950_PE,Spread widening,307
X_25123_24950_PE,IV spike,293
X_25123_25000_CE,Mispricing,372
X_25123_25000_CE,Gamma spike,296
X_25123_25000_CE,Price jump,234
X_25123_25000_CE,IV spike,164
X_25123_25000_CE,Spread widening,115
X_25123_25000_PE,Price jump,630
X_25123_25000_PE,Gamma spike,524
X_25123_25000_PE,Mispricing,394
X_25123_25000_PE,IV spike,383
X_25123_25000_PE,Spread widening,355
X_25123_25050_CE,Mispricing,381
X_25123_25050_CE,Price jump,320
X_25123_25050_CE,Gamma spike,299
X_25123_25050_CE,IV spike,188
X_25123_25050_CE,Spread widening,175
X_25123_25050_PE,Gamma spike,616
X_25123_25050_PE,Mispricing,469
X_25123_25050_PE,IV spike,370
X_25123_25050_PE,Price jump,298
X_25123_25050_PE,Spread widening,140
X_25123_25100_CE,Mispricing,372
X_25123_25100_CE,Gamma spike,295
X_25123_25100_CE,Price jump,247
X_25123_25100_CE,IV spike,198
X_25123_25100_CE,Spread widening,120
X_25123_25100_PE,Gamma spike,657
X_25123_25100_PE,Mispricing,439
X_25123_25100_PE,IV spike,365
X_25123_25100_PE,Price jump,230
X_25123_25100_PE,Spread widening,125
X_25123_25150_CE,Mispricing,405
X_25123_25150_CE,Price jump,319
X_25123_25150_CE,Gamma spike,298
X_25123_25150_CE,IV spike,197
X_25123_25150_CE,Spread widening,156
X_25123_25150_PE,Gamma spike,702
X_25123_25150_PE,IV spike,424
X_25123_25150_PE,Mispricing,387
X_25123_25150_PE,Price jump,294
X_25123_25150_PE,Spread widening,150
X_25123_25200_CE,Mispricing,402
X_25123_25200_CE,Gamma spike,298
X_25123_25200_CE,Price jump,285
X_25123_25200_CE,IV spike,200
X_25123_25200_CE,Spread widening,113
X_25123_25200_PE,Gamma spike,550
X_25123_25200_PE,IV spike,358
X_25123_25200_PE,Mispricing,335
X_25123_25200_PE,Price jump,150
X_25123_25200_PE,Spread widening,80
X_25123_25250_CE,Mispricing,290
X_25123_25250_CE,Gamma spike,241
X_25123_25250_CE,IV spike,164
X_25123_25250_CE,Price jump,110
X_25123_25250_CE,Spread widening,55
X_25123_25250_PE,Gamma spike,601
X_25123_25250_PE,IV spike,386
X_25123_25250_PE,Mispricing,326
X_25123_25250_PE,Price jump,205
X_25123_25250_PE,Spread widening,120
X_25123_25300_CE,Mispricing,341
X_25123_25300_CE,Gamma spike,264
X_25123_25300_CE,Price jump,191
X_25123_25300_CE,IV spike,190
X_25123_25300_CE,Spread widening,90
X_25123_25300_PE,Gamma spike,566
X_25123_25300_PE,IV spike,352
X_25123_25300_PE,Mispricing,341
X_25123_25300_PE,Price jump,205
X_25123_25300_PE,Spread widening,91
X_25123_25350_CE,Mispricing,249
X_25123_25350_CE,Gamma spike,205
X_25123_25350_CE,IV spike,168
X_25123_25350_CE,Price jump,137
X_25123_25350_CE,Spread widening,75
X_25123_25350_PE,Gamma spike,654
X_25123_25350_PE,IV spike,438
X_25123_25350_PE,Mispricing,391
X_25123_25350_PE,Price jump,230
X_25123_25350_PE,Spread widening,115
X_25123_25400_CE,Mispricing,346
X_25123_25400_CE,Gamma spike,313
X_25123_25400_CE,Price jump,306
X_25123_25400_CE,IV spike,197
X_25123_25400_CE,Spread widening,140
X_25123_25400_PE,Gamma spike,461
X_25123_25400_PE,IV spike,319
X_25123_25400_PE,Mispricing,291
X_25123_25400_PE,Price jump,99
X_25123_25400_PE,Spread widening,55
X_25123_25450_CE,Mispricing,322
X_25123_25450_CE,Gamma spike,265
X_25123_25450_CE,IV spike,190
X_25123_25450_CE,Price jump,115
X_25123_25450_CE,Spread widening,50
X_25123_25450_PE,Gamma spike,603
X_25123_25450_PE,Mispricing,433
X_25123_25450_PE,IV spike,414
X_25123_25450_PE,Price jump,205
